codigo_producto,nombre_producto,categoria,proveedor,precio_unitario,stock_disponible,unidad_medida,moneda,descuento_porcentaje,peso_kg,volumen_m3,estado,fecha_ingreso,fecha_vencimiento,codigo_barra,calificacion
9928,Producto_0019,Electrónica,ProveedorDelta,13.45,4410,paquete,EUR,47.01,73.73,1.9712,en_oferta,2021-01-24,2025-06-05,3194075518867,3.9
7873,Producto_0020,Deportes,ProveedorDelta,1634.28,2422,metro,GTQ,9.59,66.526,3.7921,inactivo,2021-09-07,2026-11-04,8143823183130,3.2
4611,Producto_0021,Deportes,ProveedorBeta,2152.29,4751,metro,EUR,16.11,44.234,6.7566,agotado,2020-01-01,2025-09-14,5991116192008,3.1
8359,Producto_0022,Ropa,ProveedorBeta,3365.61,1840,docena,GTQ,7.37,4.717,9.8394,agotado,2023-07-20,2025-11-17,9010426801904,2.7
5557,Producto_0023,Libros,ProveedorDelta,2001.27,1208,paquete,EUR,0.28,75.121,7.7007,activo,2023-07-13,2025-02-02,8480881352537,1.9
1106,Producto_0024,Herramientas,ProveedorAlfa,2789.24,994,kilogramo,GTQ,40.07,66.791,9.8789,agotado,2023-11-26,2026-11-26,9881528598830,2.7
3615,Producto_0025,Alimentos,ProveedorDelta,2253.1,2025,docena,EUR,13.87,77.79,4.8465,inactivo,2023-01-27,2026-07-02,8736415487151,1.3
7924,Producto_0026,Deportes,ProveedorGamma,1601.95,4424,unidad,GTQ,7.54,38.365,1.5289,inactivo,2021-08-08,2025-04-25,8297425296721,2.6
6574,Producto_0027,Libros,ProveedorAlfa,1038.14,3441,kilogramo,EUR,47.3,2.051,8.8067,agotado,2023-01-16,2026-08-12,9389704853172,1.0
5552,Producto_0028,Libros,ProveedorDelta,2693.41,4473,docena,EUR,44.89,48.874,2.7301,en_oferta,2021-12-21,2025-09-03,7837712595898,2.3
3547,Producto_0029,Alimentos,ProveedorDelta,4598.11,4375,unidad,USD,29.59,66.334,0.8404,en_oferta,2023-10-22,2026-04-08,4197438647965,1.2
4527,Producto_0030,Hogar,ProveedorDelta,1637.59,3105,litro,USD,12.61,8.282,0.1948,agotado,2022-02-15,2025-11-01,7158776599131,1.9
6514,Producto_0031,Electrónica,ProveedorBeta,1000.81,166,metro,GTQ,11.93,47.409,1.1448,inactivo,2020-05-20,2024-03-23,3952226925063,3.4
2674,Producto_0032,Deportes,ProveedorAlfa,2895.53,2555,metro,EUR,45.4,37.593,9.4148,inactivo,2020-08-22,2024-12-01,5271891477802,1.4
2519,Producto_0033,Automotriz,ProveedorAlfa,1739.28,3509,paquete,USD,3.45,64.79,0.1275,en_oferta,2021-09-09,2024-09-04,9623531247468,1.4
7224,Producto_0034,Alimentos,ProveedorDelta,884.8,4274,paquete,USD,30.8,91.97,7.7466,en_oferta,2022-01-11,2026-07-30,6670509580791,4.4
2584,Producto_0035,Herramientas,ProveedorBeta,3753.63,4668,metro,EUR,18.95,2.967,8.5097,inactivo,2020-06-26,2025-07-25,4730125623965,2.4
6881,Producto_0036,Deportes,ProveedorEpsilon,3507.41,2263,metro,GTQ,25.83,19.187,2.4143,en_oferta,2021-06-13,2025-11-28,5229504111657,3.8
6635,Producto_0037,Herramientas,ProveedorAlfa,469.8,1815,kilogramo,EUR,12.17,66.43,3.6908,agotado,2023-08-15,2026-10-02,7049594245109,2.7
5333,Producto_0038,Juguetes,ProveedorDelta,1358.23,2059,caja,GTQ,36.06,31.623,7.4291,inactivo,2023-02-01,2025-11-08,4806163686472,4.0
1711,Producto_0039,Automotriz,ProveedorGamma,4902.65,1590,litro,GTQ,18.04,30.297,7.0805,inactivo,2021-07-20,2026-12-10,1800042075259,4.9
8527,Producto_0040,Alimentos,ProveedorDelta,517.43,100,metro,USD,23.47,44.103,1.8445,activo,2023-02-07,2025-08-21,9404657102924,1.5
9785,Producto_0041,Herramientas,ProveedorAlfa,2887.22,439,caja,GTQ,40.56,94.918,0.8527,inactivo,2020-05-13,2026-03-31,8321907531984,3.4
3045,Producto_0042,Cosméticos,ProveedorDelta,2255.32,3626,litro,EUR,49.5,30.607,6.2107,agotado,2023-06-20,2025-04-07,4658293099819,3.5
7201,Producto_0043,Alimentos,ProveedorBeta,873.2,614,caja,GTQ,20.43,68.968,4.6997,activo,2021-06-25,2024-06-15,6069055592133,3.8
2291,Producto_0044,Ropa,ProveedorBeta,4619.94,4831,paquete,GTQ,21.26,54.502,6.4767,descontinuado,2023-12-10,2026-07-18,3503221320075,1.3
5803,Producto_0045,Automotriz,ProveedorEpsilon,4606.36,3597,unidad,USD,34.43,70.003,9.4268,agotado,2020-12-05,2025-09-21,9686743075678,2.8
6925,Producto_0046,Libros,ProveedorGamma,3020.55,211,unidad,GTQ,48.1,83.612,5.7524,activo,2023-05-09,2024-03-22,4082739701132,2.9
4150,Producto_0047,Deportes,ProveedorBeta,4984.74,3570,paquete,USD,48.45,47.054,4.0841,descontinuado,2023-08-27,2026-06-24,2841124204212,4.4
2139,Producto_0048,Herramientas,ProveedorGamma,3314.6,3280,docena,EUR,1.83,8.897,2.5247,activo,2021-11-06,2026-04-23,1021423808904,3.6
1750,Producto_0049,Libros,ProveedorAlfa,941.97,2963,metro,USD,31.27,76.023,2.0364,agotado,2023-01-16,2026-08-04,8706408404799,4.5
4733,Producto_0050,Electrónica,ProveedorEpsilon,3997.57,1297,litro,EUR,0.68,40.858,2.2478,activo,2022-09-19,2024-09-05,3709403424217,3.0
5741,Producto_0051,Deportes,ProveedorDelta,4174.45,3868,caja,USD,27.56,38.42,9.2188,agotado,2021-08-20,2026-11-08,5857907843799,4.1
2307,Producto_0052,Cosméticos,ProveedorGamma,4103.64,2317,paquete,USD,41.87,58.034,6.5997,inactivo,2022-04-29,2025-11-27,7070869019666,2.3
4814,Producto_0053,Herramientas,ProveedorGamma,4348.66,1956,metro,USD,11.68,77.577,0.4374,en_oferta,2023-01-17,2026-02-11,7707928923759,2.5
2654,Producto_0054,Herramientas,ProveedorAlfa,635.6,4834,litro,GTQ,43.71,44.087,5.26,en_oferta,2023-09-21,2024-11-07,8211869232782,4.5
7227,Producto_0055,Herramientas,ProveedorGamma,1696.11,3256,paquete,GTQ,42.59,85.249,8.5936,en_oferta,2020-11-12,2024-06-02,6574670581259,3.5
5554,Producto_0056,Automotriz,ProveedorAlfa,1177.68,2354,caja,EUR,4.52,97.836,7.6039,activo,2022-09-26,2024-03-14,3926778313442,3.8
8428,Producto_0057,Juguetes,ProveedorAlfa,1470.37,3070,kilogramo,GTQ,12.21,41.264,6.8183,inactivo,2020-02-29,2024-04-04,4080221625447,1.3
6977,Producto_0058,Herramientas,ProveedorEpsilon,719.87,3777,paquete,USD,22.98,66.717,8.9892,en_oferta,2022-02-22,2025-05-08,6063342139692,3.7
3664,Producto_0059,Herramientas,ProveedorGamma,4938.32,2450,paquete,USD,34.52,45.738,3.0219,en_oferta,2020-11-19,2024-05-31,9503405326674,1.4
7065,Producto_0060,Automotriz,ProveedorGamma,4963.5,2418,unidad,EUR,19.79,0.909,8.6508,activo,2022-02-20,2026-01-05,9739163970103,4.3
6820,Producto_0061,Automotriz,ProveedorGamma,1098.93,1557,metro,USD,33.89,72.121,6.5922,inactivo,2021-08-09,2025-04-16,2707800321597,4.6
4432,Producto_0062,Deportes,ProveedorDelta,171.66,2988,paquete,GTQ,4.51,29.582,7.4751,inactivo,2023-08-16,2024-03-21,3324439714229,4.1
5374,Producto_0063,Cosméticos,ProveedorGamma,4153.21,2105,docena,USD,48.37,29.585,8.7041,activo,2022-01-19,2026-12-23,3474224570793,4.0
2169,Producto_0064,Cosméticos,ProveedorGamma,456.06,3232,unidad,USD,26.83,45.533,6.7286,descontinuado,2021-04-07,2026-03-24,7702659648250,4.3
3803,Producto_0065,Hogar,ProveedorDelta,130.0,4599,litro,EUR,11.07,6.415,8.2387,descontinuado,2022-01-30,2024-08-09,8183973781112,1.5
9751,Producto_0066,Deportes,ProveedorDelta,585.02,1923,metro,GTQ,19.43,37.164,9.4939,agotado,2020-04-02,2024-03-17,5921824307767,1.1
5010,Producto_0067,Herramientas,ProveedorDelta,4753.02,2971,unidad,EUR,18.37,90.179,6.4486,activo,2022-01-28,2025-03-20,5855023041229,1.8
3677,Producto_0068,Ropa,ProveedorBeta,3210.31,4891,unidad,GTQ,39.34,24.433,1.2601,agotado,2020-09-07,2026-07-20,2207767161414,4.3
8573,Producto_0069,Automotriz,ProveedorBeta,4066.2,1908,litro,GTQ,39.43,59.639,2.7735,inactivo,2023-02-09,2025-02-28,3289163998966,3.2
7216,Producto_0070,Electrónica,ProveedorBeta,79.23,1949,metro,USD,0.79,26.61,1.2685,en_oferta,2020-12-23,2024-08-13,2999419312780,4.0
5422,Producto_0071,Juguetes,ProveedorEpsilon,2970.36,3702,metro,GTQ,47.27,4.432,7.8325,agotado,2022-09-02,2026-07-07,9058654139705,3.6
4598,Producto_0072,Herramientas,ProveedorDelta,2134.24,884,kilogramo,EUR,45.49,7.442,0.8088,agotado,2020-03-04,2024-05-04,2155983291583,1.5
6313,Producto_0073,Libros,ProveedorEpsilon,2655.13,3716,metro,EUR,21.51,79.33,1.145,agotado,2023-07-02,2025-10-27,8564360925283,2.8
1916,Producto_0074,Juguetes,ProveedorDelta,1996.66,778,litro,USD,15.63,25.563,9.536,en_oferta,2021-04-12,2026-04-27,2602311136786,4.3
4752,Producto_0075,Ropa,ProveedorGamma,4059.79,4557,unidad,EUR,47.83,56.212,6.7005,en_oferta,2020-07-09,2026-06-03,8442105803007,4.5
1525,Producto_0076,Automotriz,ProveedorGamma,1761.47,4734,metro,GTQ,7.74,48.271,8.4729,descontinuado,2020-04-15,2025-08-12,3020213291812,4.1
6168,Producto_0077,Libros,ProveedorEpsilon,4872.86,4560,unidad,EUR,46.45,82.963,2.6752,inactivo,2023-03-21,2025-04-08,6436408153382,4.7
7572,Producto_0078,Alimentos,ProveedorBeta,2833.77,3283,unidad,GTQ,37.05,97.184,0.9185,agotado,2021-12-19,2024-01-13,7615173624529,2.7
5386,Producto_0079,Juguetes,ProveedorGamma,3609.37,4649,metro,GTQ,44.17,15.642,7.5446,activo,2021-11-29,2024-11-18,2437413750460,2.1
2084,Producto_0080,Herramientas,ProveedorEpsilon,2213.01,2237,caja,EUR,5.69,43.048,2.8332,agotado,2023-09-17,2026-05-18,6427409007382,1.2
4456,Producto_0081,Electrónica,ProveedorBeta,1510.59,1730,docena,GTQ,38.21,29.016,1.2007,en_oferta,2022-03-20,2024-04-22,8575235744064,1.7
6155,Producto_0082,Hogar,ProveedorEpsilon,2795.82,2901,unidad,USD,43.09,4.326,0.1884,activo,2022-02-17,2026-12-26,6509850807795,3.3
4483,Producto_0083,Libros,ProveedorGamma,580.29,170,litro,GTQ,40.07,61.851,8.3204,descontinuado,2023-03-20,2026-04-08,8679780040210,4.4
9179,Producto_0084,Automotriz,ProveedorDelta,2622.19,3242,docena,USD,37.29,22.235,7.7914,activo,2021-05-13,2026-06-11,4412394260455,4.6
7482,Producto_0085,Alimentos,ProveedorBeta,518.51,2096,caja,GTQ,30.12,76.046,6.5554,inactivo,2021-12-16,2025-12-20,9691415859253,2.9
8517,Producto_0086,Automotriz,ProveedorEpsilon,1619.43,2589,caja,USD,3.41,44.277,3.0289,descontinuado,2023-02-28,2026-07-08,1990382606592,2.4
3340,Producto_0087,Herramientas,ProveedorDelta,192.85,3020,docena,USD,3.84,86.439,8.5531,agotado,2020-05-31,2025-09-27,9918903659884,2.5
5339,Producto_0088,Herramientas,ProveedorEpsilon,3260.93,2633,metro,USD,25.07,95.776,4.5058,descontinuado,2023-04-03,2024-03-25,9873764624386,3.6
3287,Producto_0089,Herramientas,ProveedorDelta,2622.72,4995,caja,USD,18.64,28.361,4.0883,descontinuado,2020-03-21,2025-05-22,2156783510637,2.3
5040,Producto_0090,Deportes,ProveedorGamma,3620.05,4937,docena,GTQ,16.67,58.316,1.4151,descontinuado,2023-02-16,2026-03-02,7896266358936,1.5
9830,Producto_0091,Deportes,ProveedorEpsilon,1886.51,2690,docena,GTQ,33.51,82.913,7.388,agotado,2023-12-22,2024-06-22,8450352878027,3.0
5304,Producto_0092,Deportes,ProveedorBeta,4756.09,2799,docena,USD,9.6,99.998,1.5503,descontinuado,2020-02-07,2026-01-12,9929671404650,4.1
8019,Producto_0093,Juguetes,ProveedorEpsilon,659.59,3086,caja,GTQ,9.04,69.315,6.2478,inactivo,2022-12-14,2024-03-18,8699678851827,1.2
7543,Producto_0094,Herramientas,ProveedorEpsilon,1428.22,3677,caja,EUR,11.96,96.563,7.8439,inactivo,2022-01-16,2025-05-01,8752349138696,2.8
6930,Producto_0095,Cosméticos,ProveedorEpsilon,2096.21,1327,docena,GTQ,40.06,13.926,2.5008,en_oferta,2021-07-31,2026-02-21,7532104593614,3.2
4593,Producto_0096,Ropa,ProveedorGamma,423.96,1313,litro,USD,45.27,14.82,4.3753,inactivo,2020-07-29,2026-11-22,8936312309472,4.5
3266,Producto_0097,Electrónica,ProveedorDelta,2512.53,1931,kilogramo,GTQ,18.75,2.916,9.3083,descontinuado,2020-02-24,2026-04-29,3571789396981,1.6
9348,Producto_0098,Alimentos,ProveedorDelta,2245.76,43,unidad,GTQ,12.8,83.513,5.4885,agotado,2021-08-10,2026-08-25,8445445085316,1.4
9085,Producto_0099,Deportes,ProveedorAlfa,243.51,3439,paquete,EUR,22.86,11.175,9.0516,agotado,2021-08-13,2025-05-01,1290065142322,3.5
2489,Producto_0100,Alimentos,ProveedorGamma,2149.05,2890,caja,EUR,20.83,66.471,0.8571,descontinuado,2023-03-23,2025-05-10,9933481859802,3.2
1771,Producto_0101,Electrónica,ProveedorDelta,4905.29,2077,paquete,GTQ,17.85,6.849,2.412,activo,2022-03-10,2026-08-20,3346480300166,1.2
2796,Producto_0102,Alimentos,ProveedorDelta,4904.19,3920,paquete,GTQ,40.57,6.404,7.7621,en_oferta,2023-01-23,2025-11-24,6158414566675,1.8
3504,Producto_0103,Juguetes,ProveedorGamma,2579.34,4448,kilogramo,USD,1.83,64.725,2.8618,activo,2021-02-12,2024-03-26,5807494009897,1.5
3621,Producto_0104,Libros,ProveedorDelta,4473.71,3167,litro,GTQ,24.81,49.803,9.2432,agotado,2022-01-23,2026-06-13,2389097648780,2.7
7916,Producto_0105,Juguetes,ProveedorAlfa,404.94,2421,litro,USD,30.13,42.669,6.898,descontinuado,2021-01-04,2025-08-24,1744949749484,3.9
2040,Producto_0106,Deportes,ProveedorAlfa,379.83,3327,litro,EUR,40.05,67.973,9.5279,inactivo,2021-12-23,2026-06-09,1611767293985,1.5
7304,Producto_0107,Juguetes,ProveedorDelta,4747.59,265,metro,GTQ,33.95,94.887,3.7208,activo,2021-04-28,2026-01-20,3420531562927,3.1
7252,Producto_0108,Deportes,ProveedorBeta,4802.8,212,paquete,GTQ,24.95,38.76,5.6172,descontinuado,2022-03-26,2025-10-05,5581763584645,3.8
8668,Producto_0109,Herramientas,ProveedorBeta,617.57,606,kilogramo,GTQ,44.93,44.567,0.8788,descontinuado,2021-03-15,2025-08-07,7114606812263,3.8
9669,Producto_0110,Deportes,ProveedorBeta,3560.49,1426,docena,USD,25.44,12.224,2.0106,inactivo,2023-01-31,2025-08-17,1461683308745,2.4
5119,Producto_0111,Herramientas,ProveedorEpsilon,653.21,706,unidad,USD,19.91,71.722,4.7872,en_oferta,2023-03-18,2026-01-25,8205963691997,4.3
1188,Producto_0112,Juguetes,ProveedorAlfa,2252.62,4238,litro,GTQ,43.9,78.048,6.3983,inactivo,2020-05-31,2024-09-13,8611236240857,3.0
2876,Producto_0113,Cosméticos,ProveedorBeta,1524.1,1326,litro,EUR,11.27,94.754,5.1895,descontinuado,2020-04-23,2024-09-11,2390907694228,2.0
9797,Producto_0114,Alimentos,ProveedorGamma,3074.07,765,metro,EUR,8.43,94.167,1.5428,agotado,2023-07-24,2025-07-16,6938243854895,4.4
5371,Producto_0115,Electrónica,ProveedorAlfa,232.08,4724,litro,EUR,10.54,57.257,6.1815,activo,2023-02-28,2024-03-25,6316983326362,2.9
6573,Producto_0116,Deportes,ProveedorDelta,369.5,490,caja,USD,20.78,46.498,3.4026,inactivo,2023-11-03,2026-04-11,6616607600972,3.9
2827,Producto_0117,Alimentos,ProveedorGamma,2577.33,869,litro,GTQ,23.32,26.82,2.4799,activo,2021-12-08,2026-03-27,6102638495727,4.8
5808,Producto_0118,Hogar,ProveedorBeta,4068.32,4732,paquete,USD,9.49,16.018,9.9597,en_oferta,2023-06-14,2026-05-06,9750173553224,1.1
8123,Producto_0119,Herramientas,ProveedorBeta,1079.65,2890,unidad,GTQ,14.07,59.792,8.4287,en_oferta,2022-03-16,2026-11-01,8581078973891,1.5
3591,Producto_0120,Libros,ProveedorGamma,230.99,419,metro,EUR,9.73,55.367,0.7362,agotado,2021-06-25,2026-01-19,5920099172155,4.3
8433,Producto_0121,Alimentos,ProveedorAlfa,1972.55,2777,metro,USD,37.75,19.986,5.0917,agotado,2023-06-30,2024-08-31,1794741843282,1.2
1053,Producto_0122,Cosméticos,ProveedorDelta,748.96,4223,caja,USD,46.57,31.921,3.9302,agotado,2021-11-13,2026-08-28,9922091786768,4.3
5315,Producto_0123,Automotriz,ProveedorGamma,2377.09,136,litro,USD,33.69,97.992,5.8374,activo,2022-12-26,2026-09-30,9347685163400,2.1
9201,Producto_0124,Electrónica,ProveedorEpsilon,2404.84,4294,paquete,EUR,30.99,84.133,1.4786,inactivo,2023-09-04,2025-04-11,4354841455850,1.1
3927,Producto_0125,Alimentos,ProveedorDelta,3454.05,3361,metro,EUR,46.03,87.294,7.3586,activo,2021-10-04,2026-05-07,3429687803785,3.1
9317,Producto_0126,Herramientas,ProveedorEpsilon,1887.24,1418,kilogramo,EUR,17.12,35.493,7.7201,descontinuado,2023-02-22,2025-10-27,9519540406935,1.8
2743,Producto_0127,Cosméticos,ProveedorGamma,1128.21,2438,docena,USD,35.25,69.055,4.8905,en_oferta,2021-05-19,2025-07-25,6060645965864,1.5
5889,Producto_0128,Libros,ProveedorGamma,4773.27,1199,litro,GTQ,14.38,71.443,3.4643,en_oferta,2023-10-17,2026-02-16,5512533039320,4.0
4258,Producto_0129,Cosméticos,ProveedorGamma,4665.45,2225,caja,GTQ,30.78,58.724,2.4253,agotado,2021-03-14,2025-02-17,1924417994053,1.4
7126,Producto_0130,Ropa,ProveedorBeta,30.88,4508,caja,USD,32.64,88.077,4.7575,inactivo,2021-11-07,2026-08-25,6649115702296,2.1
