id_transaccion,id_cliente,id_producto,tipo_transaccion,monto_bruto,impuesto_porcentaje,monto_impuesto,monto_neto,moneda,metodo_pago,canal,estado_transaccion,fecha_transaccion,hora_transaccion,codigo_autorizacion,numero_factura,id_cajero,sucursal,descuento_aplicado,comision_banco,nota
206210,6877,6004,transferencia,35612.83,9.61,3422.39,36079.21,GTQ,tarjeta_credito,agente,rechazada,2023-11-11,15:29:28,AUTH185955,FAC-46780,979,Sucursal_14,2956.01,498.12,Transaccion procesada correctamente ref_206210
368322,1305,9309,credito,7008.68,8.08,566.3,7021.5,GTQ,cheque,sucursal,en_proceso,2022-06-06,23:04:57,AUTH906564,FAC-87337,317,Sucursal_15,553.48,190.34,Transaccion procesada correctamente ref_368322
775636,5767,3193,transferencia,1842.45,3.91,72.04,1420.35,GTQ,transferencia,telefono,rechazada,2022-11-01,11:25:14,AUTH111106,FAC-96858,344,Sucursal_14,494.14,34.07,Transaccion procesada correctamente ref_775636
342389,3395,8921,devolucion,48200.37,14.73,7099.91,45407.23,GTQ,tarjeta_credito,app_movil,pendiente,2022-10-15,14:10:11,AUTH165914,FAC-44649,478,Sucursal_4,9893.05,1153.44,Transaccion procesada correctamente ref_342389
578938,1653,6309,compra,2149.99,3.1,66.65,1631.16,EUR,QR,telefono,rechazada,2024-08-19,14:56:02,AUTH670792,FAC-84732,278,Sucursal_7,585.48,30.17,Transaccion procesada correctamente ref_578938
410401,4651,9460,transferencia,32687.23,5.48,1791.26,28071.76,EUR,tarjeta_debito,app_movil,en_proceso,2024-11-24,08:24:58,AUTH733561,FAC-10864,613,Sucursal_15,6406.73,846.17,Transaccion procesada correctamente ref_410401
376955,6934,2938,credito,6957.03,2.48,172.53,6968.67,USD,transferencia,telefono,revertida,2023-03-10,04:11:10,AUTH218844,FAC-73113,791,Sucursal_8,160.89,146.7,Transaccion procesada correctamente ref_376955
586830,3639,3207,credito,23956.27,8.86,2122.53,21427.02,GTQ,cheque,en_linea,completada,2023-05-15,01:08:36,AUTH274421,FAC-43850,284,Sucursal_9,4651.78,365.87,Transaccion procesada correctamente ref_586830
152512,8723,8891,venta,47912.33,8.99,4307.32,44118.57,USD,transferencia,sucursal,pendiente,2023-08-04,02:13:28,AUTH933215,FAC-86368,940,Sucursal_13,8101.08,261.86,Transaccion procesada correctamente ref_152512
204657,2127,4765,transferencia,9102.39,9.89,900.23,9280.29,MXN,tarjeta_credito,tienda_fisica,completada,2023-12-03,14:38:37,AUTH312177,FAC-78512,980,Sucursal_15,722.33,210.31,Transaccion procesada correctamente ref_204657
952679,9706,9246,debito,25222.93,6.3,1589.04,25680.26,GTQ,efectivo,app_movil,revertida,2024-09-01,19:38:02,AUTH236659,FAC-89098,652,Sucursal_14,1131.71,186.84,Transaccion procesada correctamente ref_952679
283188,9680,8028,venta,70.0,14.07,9.85,65.6,MXN,transferencia,telefono,rechazada,2024-05-11,11:55:02,AUTH943706,FAC-85513,200,Sucursal_7,14.25,1.11,Transaccion procesada correctamente ref_283188
141360,7695,5223,venta,6702.82,7.16,479.92,6715.19,GTQ,QR,agente,completada,2023-08-04,19:56:34,AUTH706063,FAC-78490,220,Sucursal_9,467.55,177.47,Transaccion procesada correctamente ref_141360
993647,5155,5281,debito,369.63,9.82,36.3,329.66,MXN,cheque,telefono,rechazada,2024-01-12,03:09:27,AUTH388946,FAC-99208,506,Sucursal_13,76.27,4.77,Transaccion procesada correctamente ref_993647
404681,6641,7522,credito,10192.65,8.28,843.95,9331.69,USD,QR,tienda_fisica,revertida,2024-09-17,08:19:36,AUTH340932,FAC-68536,901,Sucursal_12,1704.91,96.5,Transaccion procesada correctamente ref_404681
477712,1086,2492,debito,47462.77,1.5,711.94,40936.49,USD,transferencia,sucursal,en_proceso,2022-04-17,05:24:40,AUTH192422,FAC-18399,369,Sucursal_4,7238.22,1170.05,Transaccion procesada correctamente ref_477712
940534,5693,1941,debito,18548.05,9.14,1695.29,16211.95,USD,QR,app_movil,en_proceso,2024-03-31,19:41:33,AUTH111230,FAC-36438,970,Sucursal_11,4031.39,524.3,Transaccion procesada correctamente ref_940534
809641,3776,1590,devolucion,46538.62,7.77,3616.05,47435.7,USD,QR,tienda_fisica,pendiente,2024-11-11,16:44:14,AUTH191061,FAC-46167,898,Sucursal_7,2718.97,1144.8,Transaccion procesada correctamente ref_809641
427897,6703,6693,debito,17662.85,5.93,1047.41,15604.71,EUR,tarjeta_credito,sucursal,pendiente,2022-05-21,02:35:18,AUTH576849,FAC-62947,688,Sucursal_1,3105.55,316.93,Transaccion procesada correctamente ref_427897
546688,9409,5222,ajuste,13062.76,6.11,798.13,13443.67,EUR,QR,app_movil,en_proceso,2023-08-26,10:07:51,AUTH690525,FAC-73390,888,Sucursal_4,417.22,88.95,Transaccion procesada correctamente ref_546688
874415,2106,7269,credito,37876.09,14.42,5461.73,38124.0,USD,QR,agente,pendiente,2022-02-26,15:07:16,AUTH939030,FAC-51383,522,Sucursal_6,5213.82,625.64,Transaccion procesada correctamente ref_874415
221531,6603,2245,ajuste,25830.05,0.15,38.75,19420.25,USD,transferencia,telefono,cancelada,2022-07-10,12:43:47,AUTH329183,FAC-85197,375,Sucursal_3,6448.55,289.46,Transaccion procesada correctamente ref_221531
199613,5348,4387,venta,47356.43,10.25,4854.03,39283.19,USD,tarjeta_credito,sucursal,cancelada,2023-02-13,07:47:15,AUTH263573,FAC-23983,222,Sucursal_15,12927.27,827.55,Transaccion procesada correctamente ref_199613
992596,6167,9066,ajuste,3933.59,14.34,564.08,3916.29,EUR,transferencia,en_linea,rechazada,2022-03-28,15:23:39,AUTH393880,FAC-62150,327,Sucursal_13,581.38,20.32,Transaccion procesada correctamente ref_992596
895034,3863,8490,compra,28837.49,0.81,233.58,22156.39,MXN,tarjeta_debito,agente,completada,2022-03-08,16:22:25,AUTH112394,FAC-98356,315,Sucursal_7,6914.68,489.03,Transaccion procesada correctamente ref_895034
148118,6621,6995,venta,29054.6,4.88,1417.86,25131.25,MXN,transferencia,en_linea,en_proceso,2023-06-23,07:17:30,AUTH834750,FAC-58799,473,Sucursal_14,5341.21,333.91,Transaccion procesada correctamente ref_148118
110142,4863,8081,debito,20035.62,6.76,1354.41,17955.47,MXN,tarjeta_credito,en_linea,revertida,2023-04-14,03:46:17,AUTH256812,FAC-71995,925,Sucursal_1,3434.56,590.69,Transaccion procesada correctamente ref_110142
993385,8972,5915,devolucion,8838.6,7.49,662.01,6860.8,GTQ,transferencia,tienda_fisica,revertida,2024-11-24,17:46:20,AUTH271276,FAC-17869,320,Sucursal_14,2639.81,231.88,Transaccion procesada correctamente ref_993385
245117,5222,6638,compra,12721.94,12.58,1600.42,13954.82,MXN,efectivo,telefono,revertida,2023-06-17,11:23:35,AUTH734992,FAC-36077,690,Sucursal_10,367.54,300.43,Transaccion procesada correctamente ref_245117
795578,8322,2284,transferencia,32496.78,8.08,2625.74,25574.58,EUR,transferencia,agente,pendiente,2023-10-28,21:32:31,AUTH275715,FAC-93962,927,Sucursal_15,9547.94,393.71,Transaccion procesada correctamente ref_795578
778636,4739,6136,devolucion,16876.04,9.47,1598.16,15580.11,EUR,QR,telefono,rechazada,2022-05-27,02:10:21,AUTH775958,FAC-61833,377,Sucursal_15,2894.09,442.53,Transaccion procesada correctamente ref_778636
278795,1378,3048,credito,22250.47,12.94,2879.21,22705.5,USD,QR,telefono,revertida,2024-07-11,13:10:11,AUTH834733,FAC-20494,315,Sucursal_3,2424.18,437.73,Transaccion procesada correctamente ref_278795
444625,9584,2363,compra,19858.31,1.43,283.97,14561.34,EUR,cheque,en_linea,completada,2022-04-21,00:49:25,AUTH786641,FAC-61097,416,Sucursal_4,5580.94,334.21,Transaccion procesada correctamente ref_444625
474894,6846,6328,debito,12377.35,4.26,527.28,10578.38,MXN,transferencia,sucursal,cancelada,2022-12-16,00:02:42,AUTH675191,FAC-68306,238,Sucursal_12,2326.25,102.51,Transaccion procesada correctamente ref_474894
558976,9745,6073,devolucion,26968.99,8.86,2389.45,25664.69,MXN,cheque,en_linea,completada,2024-06-09,16:40:40,AUTH563324,FAC-50352,474,Sucursal_7,3693.75,639.78,Transaccion procesada correctamente ref_558976
752011,9767,1136,credito,12997.75,4.55,591.4,13588.79,MXN,transferencia,telefono,completada,2022-10-07,11:18:30,AUTH903072,FAC-66418,917,Sucursal_5,0.36,329.94,Transaccion procesada correctamente ref_752011
381342,7385,7199,venta,29854.22,11.95,3567.58,28511.87,EUR,efectivo,app_movil,revertida,2024-06-14,12:15:10,AUTH351198,FAC-77713,882,Sucursal_13,4909.93,290.01,Transaccion procesada correctamente ref_381342
868677,2121,3988,venta,45498.62,12.11,5509.88,41663.44,EUR,efectivo,agente,en_proceso,2024-12-25,08:26:12,AUTH747736,FAC-69345,378,Sucursal_12,9345.06,551.3,Transaccion procesada correctamente ref_868677
197466,5622,5410,venta,31141.46,2.82,878.19,31838.45,MXN,QR,tienda_fisica,pendiente,2024-12-31,00:11:06,AUTH194578,FAC-29750,115,Sucursal_8,181.2,194.35,Transaccion procesada correctamente ref_197466
490722,1519,6410,compra,10867.23,6.3,684.64,8990.27,USD,efectivo,telefono,en_proceso,2024-01-31,14:44:50,AUTH174852,FAC-81197,581,Sucursal_3,2561.6,189.74,Transaccion procesada correctamente ref_490722
954551,8257,5049,credito,9617.69,12.62,1213.75,8473.42,GTQ,tarjeta_credito,app_movil,revertida,2022-09-07,22:15:24,AUTH908447,FAC-22315,633,Sucursal_11,2358.02,247.24,Transaccion procesada correctamente ref_954551
459370,1691,9534,compra,49105.97,7.09,3481.61,42548.71,EUR,transferencia,agente,cancelada,2023-10-24,05:40:46,AUTH308376,FAC-57241,153,Sucursal_14,10038.87,628.69,Transaccion procesada correctamente ref_459370
291752,2960,7484,debito,33338.07,14.6,4867.36,35845.44,USD,efectivo,tienda_fisica,rechazada,2022-01-31,05:50:17,AUTH921533,FAC-72294,804,Sucursal_10,2359.99,528.54,Transaccion procesada correctamente ref_291752
219361,6824,3521,credito,7758.05,11.56,896.83,8076.0,GTQ,tarjeta_credito,app_movil,pendiente,2023-11-25,20:03:03,AUTH432125,FAC-83184,907,Sucursal_11,578.88,135.75,Transaccion procesada correctamente ref_219361
520245,5107,1646,transferencia,37837.31,12.08,4570.75,37428.08,MXN,cheque,telefono,rechazada,2024-02-13,11:46:08,AUTH830897,FAC-74237,294,Sucursal_10,4979.98,371.72,Transaccion procesada correctamente ref_520245
519692,8362,5844,debito,9339.47,5.21,486.59,7773.98,EUR,cheque,telefono,en_proceso,2022-11-25,02:33:09,AUTH100754,FAC-93627,618,Sucursal_7,2052.08,110.98,Transaccion procesada correctamente ref_519692
578715,9830,7348,venta,36685.55,13.24,4857.17,34722.13,MXN,cheque,en_linea,rechazada,2023-05-05,10:46:04,AUTH396882,FAC-52283,519,Sucursal_11,6820.59,517.34,Transaccion procesada correctamente ref_578715
385037,4310,2753,transferencia,16107.98,1.44,231.95,13155.91,USD,efectivo,tienda_fisica,rechazada,2022-09-23,05:55:02,AUTH772925,FAC-60934,773,Sucursal_8,3184.02,98.17,Transaccion procesada correctamente ref_385037
976303,4419,9051,debito,26295.81,10.52,2766.32,27043.1,GTQ,transferencia,agente,completada,2022-05-26,00:59:58,AUTH478458,FAC-83140,861,Sucursal_15,2019.03,372.32,Transaccion procesada correctamente ref_976303
504452,2153,5979,compra,20803.5,5.54,1152.51,17534.64,USD,cheque,tienda_fisica,completada,2023-06-29,16:02:46,AUTH860397,FAC-40279,644,Sucursal_7,4421.37,532.38,Transaccion procesada correctamente ref_504452
823415,7802,2728,debito,9481.13,7.89,748.06,9521.62,EUR,QR,app_movil,revertida,2023-01-02,17:47:35,AUTH797557,FAC-65977,206,Sucursal_3,707.57,195.63,Transaccion procesada correctamente ref_823415
991993,6772,6163,ajuste,39625.16,8.25,3269.08,36894.68,EUR,tarjeta_debito,app_movil,revertida,2024-12-29,19:28:59,AUTH551504,FAC-52395,723,Sucursal_4,5999.56,849.5,Transaccion procesada correctamente ref_991993
601476,7505,1003,credito,28161.6,3.21,903.99,22596.52,GTQ,tarjeta_debito,sucursal,completada,2023-06-05,11:28:28,AUTH642752,FAC-27705,409,Sucursal_1,6469.07,792.85,Transaccion procesada correctamente ref_601476
938754,3534,2544,compra,15023.69,3.33,500.29,11667.16,MXN,tarjeta_debito,en_linea,pendiente,2023-07-20,17:32:35,AUTH377860,FAC-58114,696,Sucursal_4,3856.82,83.27,Transaccion procesada correctamente ref_938754
542226,6319,8905,venta,11657.38,12.17,1418.7,12754.67,MXN,QR,agente,rechazada,2023-03-22,23:04:46,AUTH959324,FAC-22499,709,Sucursal_11,321.41,174.8,Transaccion procesada correctamente ref_542226
780364,8115,7824,debito,15026.66,10.96,1646.92,14075.69,GTQ,tarjeta_credito,agente,revertida,2022-04-25,10:22:56,AUTH990742,FAC-88944,111,Sucursal_11,2597.89,104.61,Transaccion procesada correctamente ref_780364
935620,4617,3509,compra,38873.16,5.74,2231.32,37550.11,MXN,transferencia,sucursal,rechazada,2022-11-03,10:32:44,AUTH629247,FAC-21807,327,Sucursal_7,3554.37,234.39,Transaccion procesada correctamente ref_935620
274880,2393,7529,ajuste,14496.25,5.91,856.73,14778.11,MXN,QR,en_linea,pendiente,2022-04-11,17:25:16,AUTH604283,FAC-83308,302,Sucursal_8,574.87,102.4,Transaccion procesada correctamente ref_274880
218548,5362,8046,devolucion,19771.99,8.57,1694.46,18137.83,GTQ,efectivo,agente,en_proceso,2024-12-09,07:15:04,AUTH544114,FAC-57876,456,Sucursal_4,3328.62,591.72,Transaccion procesada correctamente ref_218548
238948,8245,3389,transferencia,16043.71,8.91,1429.49,17356.69,GTQ,tarjeta_credito,en_linea,revertida,2023-12-18,19:52:51,AUTH491979,FAC-30446,875,Sucursal_12,116.51,202.48,Transaccion procesada correctamente ref_238948
829987,2823,5999,transferencia,42639.68,1.69,720.61,42662.64,MXN,efectivo,telefono,pendiente,2022-10-30,09:00:21,AUTH875959,FAC-80517,316,Sucursal_4,697.65,1224.76,Transaccion procesada correctamente ref_829987
861697,1301,7170,ajuste,27325.75,11.26,3076.88,25903.72,GTQ,tarjeta_debito,en_linea,completada,2022-10-17,22:44:42,AUTH397809,FAC-36305,908,Sucursal_12,4498.91,562.26,Transaccion procesada correctamente ref_861697
161495,6901,2767,compra,30902.06,0.8,247.22,25079.27,EUR,QR,app_movil,pendiente,2024-03-06,21:17:42,AUTH499194,FAC-76655,826,Sucursal_2,6070.01,160.95,Transaccion procesada correctamente ref_161495
985364,1352,1651,venta,45194.56,7.27,3285.64,40384.41,EUR,tarjeta_debito,app_movil,en_proceso,2023-02-12,16:29:35,AUTH880550,FAC-30578,118,Sucursal_6,8095.79,325.42,Transaccion procesada correctamente ref_985364
267138,5221,7343,debito,34218.72,5.33,1823.86,32939.02,GTQ,cheque,telefono,pendiente,2024-10-23,08:51:03,AUTH259077,FAC-54798,502,Sucursal_11,3103.56,1023.13,Transaccion procesada correctamente ref_267138
208751,3502,7987,devolucion,6871.66,10.95,752.45,6550.65,EUR,transferencia,sucursal,pendiente,2023-04-11,13:15:36,AUTH316800,FAC-95520,241,Sucursal_10,1073.46,150.83,Transaccion procesada correctamente ref_208751
536236,3378,3589,devolucion,27072.28,12.0,3248.67,23315.29,GTQ,cheque,sucursal,revertida,2024-12-08,04:27:58,AUTH224138,FAC-34134,425,Sucursal_14,7005.66,344.49,Transaccion procesada correctamente ref_536236
719446,5485,3489,debito,43983.11,10.91,4798.56,38681.81,USD,efectivo,en_linea,pendiente,2024-04-27,13:19:28,AUTH127470,FAC-90213,731,Sucursal_5,10099.86,1187.69,Transaccion procesada correctamente ref_719446
606121,8808,3196,ajuste,30284.17,9.19,2783.12,27649.2,MXN,QR,agente,cancelada,2022-02-23,11:05:44,AUTH292913,FAC-60785,603,Sucursal_8,5418.09,326.25,Transaccion procesada correctamente ref_606121
941235,4323,4351,compra,6884.26,2.9,199.64,7017.34,USD,transferencia,sucursal,en_proceso,2022-01-31,08:26:14,AUTH821276,FAC-52584,987,Sucursal_8,66.56,166.0,Transaccion procesada correctamente ref_941235
696580,9784,9605,credito,44380.47,6.41,2844.79,36890.63,GTQ,cheque,tienda_fisica,en_proceso,2024-02-19,23:20:25,AUTH579094,FAC-15559,998,Sucursal_4,10334.63,896.41,Transaccion procesada correctamente ref_696580
811346,5770,8201,transferencia,25939.95,5.93,1538.24,21757.11,EUR,tarjeta_debito,app_movil,pendiente,2024-11-23,20:03:12,AUTH542983,FAC-48590,727,Sucursal_15,5721.08,491.37,Transaccion procesada correctamente ref_811346
559447,2854,3945,debito,2736.79,7.75,212.1,2832.11,USD,transferencia,app_movil,cancelada,2024-07-14,02:46:32,AUTH572788,FAC-13265,283,Sucursal_8,116.78,70.47,Transaccion procesada correctamente ref_559447
290065,3686,3024,compra,29519.87,10.69,3155.67,30887.24,GTQ,QR,app_movil,revertida,2023-05-28,10:44:41,AUTH480573,FAC-21181,636,Sucursal_12,1788.3,483.15,Transaccion procesada correctamente ref_290065
741018,3799,6491,ajuste,19210.53,11.87,2280.29,18542.0,USD,tarjeta_credito,en_linea,pendiente,2024-02-15,17:24:02,AUTH906519,FAC-16725,529,Sucursal_5,2948.82,552.18,Transaccion procesada correctamente ref_741018
498197,5146,1200,transferencia,15482.82,11.53,1785.17,15195.19,MXN,transferencia,sucursal,completada,2022-08-29,04:12:00,AUTH737517,FAC-74679,343,Sucursal_4,2072.8,319.9,Transaccion procesada correctamente ref_498197
917012,5556,4401,compra,29447.23,7.14,2102.53,27926.41,USD,tarjeta_credito,tienda_fisica,revertida,2022-01-14,07:56:35,AUTH465973,FAC-14813,248,Sucursal_14,3623.35,205.69,Transaccion procesada correctamente ref_917012
476018,3920,3643,credito,1631.28,8.67,141.43,1477.47,EUR,cheque,agente,revertida,2022-06-29,01:06:26,AUTH833842,FAC-87983,686,Sucursal_13,295.24,21.66,Transaccion procesada correctamente ref_476018
741055,6289,7038,transferencia,28113.24,14.49,4073.61,25866.98,GTQ,transferencia,sucursal,completada,2022-03-15,02:49:19,AUTH407057,FAC-71710,237,Sucursal_2,6319.87,393.72,Transaccion procesada correctamente ref_741055
130216,9666,2436,transferencia,34734.03,4.12,1431.04,30673.07,EUR,transferencia,sucursal,cancelada,2023-03-05,19:03:06,AUTH372273,FAC-78864,688,Sucursal_10,5492.0,629.25,Transaccion procesada correctamente ref_130216
817712,4812,5759,venta,17699.13,1.95,345.13,15056.82,GTQ,efectivo,tienda_fisica,en_proceso,2024-10-16,15:51:11,AUTH755843,FAC-25456,855,Sucursal_14,2987.44,318.45,Transaccion procesada correctamente ref_817712
979269,4478,1185,credito,10374.47,9.23,957.56,10041.55,USD,QR,telefono,cancelada,2023-12-18,17:51:40,AUTH928580,FAC-18891,415,Sucursal_5,1290.48,63.67,Transaccion procesada correctamente ref_979269
862606,1477,3877,venta,25339.41,4.86,1231.5,26524.3,EUR,tarjeta_debito,agente,en_proceso,2023-12-01,12:46:36,AUTH597549,FAC-14660,761,Sucursal_3,46.61,561.16,Transaccion procesada correctamente ref_862606
237002,7782,1917,debito,24079.96,9.41,2265.92,19901.66,EUR,cheque,agente,revertida,2023-11-18,14:50:52,AUTH430828,FAC-82768,648,Sucursal_1,6444.22,443.65,Transaccion procesada correctamente ref_237002
606545,1510,6556,transferencia,10421.04,10.28,1071.28,8992.72,USD,cheque,sucursal,en_proceso,2023-12-26,02:09:17,AUTH296481,FAC-88012,219,Sucursal_14,2499.6,283.46,Transaccion procesada correctamente ref_606545
611833,4893,7088,transferencia,39119.37,4.62,1807.31,30859.47,EUR,tarjeta_credito,sucursal,cancelada,2023-07-11,13:05:31,AUTH283514,FAC-24710,483,Sucursal_13,10067.21,889.81,Transaccion procesada correctamente ref_611833
218423,6572,8921,credito,1879.38,3.03,56.95,1884.12,EUR,tarjeta_debito,en_linea,completada,2024-09-15,16:09:12,AUTH962074,FAC-77652,792,Sucursal_3,52.21,33.17,Transaccion procesada correctamente ref_218423
531262,1721,2426,devolucion,10267.3,0.55,56.47,9129.92,MXN,efectivo,tienda_fisica,rechazada,2022-08-26,00:19:59,AUTH903398,FAC-96374,863,Sucursal_5,1193.85,273.32,Transaccion procesada correctamente ref_531262
562094,9720,6228,debito,1133.79,11.38,129.03,1045.52,MXN,QR,tienda_fisica,cancelada,2023-02-15,06:18:17,AUTH256574,FAC-30643,380,Sucursal_2,217.3,11.62,Transaccion procesada correctamente ref_562094
148205,3319,5641,ajuste,772.68,9.34,72.17,725.69,USD,tarjeta_credito,tienda_fisica,cancelada,2023-12-19,17:20:17,AUTH743052,FAC-54399,653,Sucursal_8,119.16,7.85,Transaccion procesada correctamente ref_148205
166412,7421,3932,credito,2545.8,0.43,10.95,1866.87,MXN,cheque,telefono,cancelada,2024-02-25,01:05:27,AUTH448475,FAC-35971,830,Sucursal_13,689.88,15.94,Transaccion procesada correctamente ref_166412
374320,8672,2593,transferencia,33546.8,8.0,2683.74,26431.37,EUR,QR,agente,revertida,2024-08-11,18:08:05,AUTH903726,FAC-71000,581,Sucursal_4,9799.17,801.55,Transaccion procesada correctamente ref_374320
786789,6412,6320,transferencia,47372.94,2.16,1023.26,35666.61,MXN,efectivo,tienda_fisica,en_proceso,2024-01-15,12:11:44,AUTH218370,FAC-56064,590,Sucursal_8,12729.59,542.48,Transaccion procesada correctamente ref_786789
429502,2752,6339,ajuste,42289.86,4.23,1788.86,39655.85,GTQ,tarjeta_debito,sucursal,en_proceso,2024-11-06,03:25:52,AUTH520286,FAC-87402,523,Sucursal_4,4422.87,819.03,Transaccion procesada correctamente ref_429502
112960,8063,8132,ajuste,31047.53,8.22,2552.11,24528.56,EUR,cheque,agente,pendiente,2023-11-29,06:52:44,AUTH281493,FAC-96849,785,Sucursal_2,9071.08,453.15,Transaccion procesada correctamente ref_112960
838793,8294,3886,devolucion,36970.96,10.68,3948.5,31638.84,MXN,efectivo,sucursal,completada,2024-08-06,10:35:06,AUTH818807,FAC-88172,889,Sucursal_14,9280.62,290.52,Transaccion procesada correctamente ref_838793
